trilat,trilong,ssid,qos,transid,firsttime,lasttime,lastupdt,netid,type,capabilities,userfound,device,mfgrId,name,country,region,road,city,housenumber,postalcode
25.44246101,-80.47493744,FS Ext Battery,0,20220905-00000,2022-09-05T19:00:00.000Z,2022-09-05T19:00:00.000Z,2022-09-05T19:00:00.000Z,58:8e:81:fd:9b:ca,BLE,['Misc'],False,7936,,FS Ext Battery,US,FL,Dixie Highway,,425,33034
25.44782639,-80.49185944,FS Ext Battery,6,20220720-00000,2022-07-20T17:00:00.000Z,2023-02-23T03:00:00.000Z,2023-02-23T03:00:00.000Z,cc:cc:cc:97:7d:93,BLE,['Misc'],False,0,,FS Ext Battery,US,FL,Southwest 344th Street,,904,33034
25.46093941,-80.47740173,FS Ext Battery,7,20220201-00000,2022-01-30T22:00:00.000Z,2023-10-23T20:00:00.000Z,2023-10-23T20:00:00.000Z,58:8e:81:fd:9b:56,BLE,['Misc'],False,7936,,FS Ext Battery,US,FL,Southwest 177th Avenue,,1446,33034
26.06584167,-80.21614838,FS Ext Battery,4,20240311-00000,2024-03-11T14:00:00.000Z,2024-04-29T10:00:00.000Z,2024-04-29T10:00:00.000Z,ec:1b:bd:20:0c:72,BLE,['Misc'],False,0,,FS Ext Battery,US,FL,Linear Park Trail,Pembroke Pines,,33314
26.07258987,-97.2251358,FS Ext Battery,6,20221201-00000,2022-12-01T18:00:00.000Z,2024-04-18T19:00:00.000Z,2024-04-18T23:00:00.000Z,ec:1b:bd:88:b5:65,BLE,['Misc'],False,7936,,FS Ext Battery,US,TX,State Highway 100,,,78578
26.09394646,-80.16088104,FS Ext Battery,0,20240528-00000,2024-04-04T12:00:00.000Z,2024-05-28T22:00:00.000Z,2024-05-28T22:00:00.000Z,cc:cc:cc:95:43:cc,BT,"['Uncategorized', '10']",False,0,,FS Ext Battery,US,FL,Southwest 15th Avenue,Fort Lauderdale,,33315
26.15954399,-97.8625412,FS Ext Battery,0,20231104-00000,2023-11-04T14:00:00.000Z,2023-11-04T14:00:00.000Z,2023-11-04T14:00:00.000Z,58:8e:81:fc:dd:fe,BLE,"['Uncategorized', '10']",False,7936,,FS Ext Battery,US,TX,I 2;US 83,,,78559
26.15965271,-97.86067963,FS Ext Battery,7,20230714-00000,2023-07-14T22:00:00.000Z,2024-03-12T16:00:00.000Z,2024-03-12T17:00:00.000Z,58:8e:81:fd:a5:e1,BT,['Misc'],False,7936,,FS Ext Battery,US,TX,I 2;US 83,,,78559
26.16946793,-80.15810394,FS Ext Battery,0,20210514-00000,2021-05-13T18:00:00.000Z,2021-05-14T17:00:00.000Z,2023-03-18T22:00:00.000Z,58:8e:81:fd:9b:31,BT,"['Uncategorized', '10']",False,7936,,FS Ext Battery,US,FL,I 95,,,33309:33311
26.1905098,-98.2042923,FS Ext Battery,0,20240329-00000,2024-03-29T19:00:00.000Z,2024-03-29T20:00:00.000Z,2024-03-29T21:00:00.000Z,94:34:69:7b:86:23,BLE,['Misc'],False,0,,FS Ext Battery,US,TX,West Sam Houston Avenue,,,78577
