trilat,trilong,ssid,qos,transid,firsttime,lasttime,lastupdt,netid,name,type,comment,wep,bcninterval,freenet,dhcp,paynet,userfound,channel,rcois,encryption,country,region,road,city,housenumber,postalcode
26.13157845,-80.34389496,Flock-7F68FF,0,20210702-00000,2021-07-02T09:00:00.000Z,2021-07-02T10:00:00.000Z,2022-07-10T02:00:00.000Z,70:C9:4E:7F:68:FF,,infra,,2,0,?,?,?,False,1,,wpa2,US,FL,Sawgrass Expressway,Sunrise,,33325
26.18225288,-80.16497803,Flock-A4E7B7,0,20211107-00000,2021-11-07T12:00:00.000Z,2021-11-07T12:00:00.000Z,2021-11-07T12:00:00.000Z,3C:91:80:A4:E7:B7,,infra,,2,0,?,?,?,False,6,,wpa2,US,FL,West Prospect Road,Wilton Manors,,33309
26.30171204,-80.25123596,Flock-7DCB1D,0,20220112-00000,2022-01-12T15:00:00.000Z,2022-01-12T12:00:00.000Z,2022-01-12T12:00:00.000Z,D8:F3:BC:7D:CB:1D,,infra,,2,0,?,?,?,False,6,,wpa2,US,FL,Sawgrass Expressway,Parkland,,33076
26.61367226,-81.76228333,Flock-7F6395,0,20210102-00000,2021-01-02T16:00:00.000Z,2021-01-02T13:00:00.000Z,2022-07-06T18:00:00.000Z,70:C9:4E:7F:63:95,,infra,,2,0,?,?,?,False,6,,wpa2,US,FL,FL 82,Fort Myers,,33966-6536
27.32088089,-82.48295593,Flock-E05A6B,0,20210903-00000,2021-09-02T18:00:00.000Z,2021-09-03T22:00:00.000Z,2021-09-03T22:00:00.000Z,80:30:49:E0:5A:6B,,infra,,2,0,?,?,?,False,11,,wpa2,US,FL,McIntosh Road,,,34233
27.58609581,-80.3782196,Flock-7ACF3D,0,20220520-00000,2022-05-18T17:00:00.000Z,2022-05-20T16:00:00.000Z,2022-05-20T16:00:00.000Z,14:5A:FC:7A:CF:3D,,infra,,2,0,?,?,?,False,165,,wpa2,US,FL,9th Street Southwest,,915,32960
27.83551025,-82.26076508,Flock-68E7D5,0,20210912-00000,2021-09-12T13:00:00.000Z,2021-09-12T12:00:00.000Z,2021-09-12T12:00:00.000Z,74:4C:A1:68:E7:D5,,infra,,2,0,?,?,?,False,6,,wpa2,US,FL,Boyette Road,,15301,33569
27.87324142,-81.58193207,Flock-7DB7ED,0,20231223-00000,2022-02-27T13:00:00.000Z,2023-12-23T01:00:00.000Z,2023-12-23T02:00:00.000Z,D8:F3:BC:7D:B7:ED,,infra,,2,0,?,?,?,False,11,,wpa2,US,FL,South Scenic Highway,,,33898
27.89668083,-81.85842896,FLOCK-123DEF,5,20210513-00000,2021-05-12T11:00:00.000Z,2022-09-07T09:00:00.000Z,2022-09-07T09:00:00.000Z,08:3A:88:20:F8:04,,infra,,2,0,?,?,?,False,1,,wpa2,US,FL,FL 60,,,33830
27.90136719,-81.81982422,FLOCK-123DEF,4,20210513-00000,2021-05-12T11:00:00.000Z,2021-07-24T14:00:00.000Z,2022-07-06T16:00:00.000Z,08:3A:88:21:E0:88,,infra,,2,0,?,?,?,False,1,,wpa2,US,FL,FL 60,,,33830
