coordinates,Country,maps_url,type,info/comments,config type,name
"41.092545, -81.557472",United States,"https://www.google.com/maps/place/41%C2%B005'33.2%22N+81%C2%B033'26.9%22W/@41.0925449,-81.5619567,17z/data=!3m1!4b1!4m9!1m2!2m1!1sSunset+View+Drive,+Akron,+OH!3m5!1s0x0:0x9750e994b0298e4a!7e2!8m2!3d41.0925446!4d-81.5574717",Flock Camera,Corner of delia/sunset view,Config 1,
"41.093065, -81.556214",United States,"https://www.google.com/maps/place/41%C2%B005'35.0%22N+81%C2%B033'22.4%22W/@41.0930649,-81.5606987,17z/data=!3m1!4b1!4m9!1m2!2m1!1sSunset+View+Drive,+Akron,+OH!3m5!1s0x0:0xba753e90dba4f019!7e2!8m2!3d41.0930646!4d-81.5562143",Flock Camera,Corner of storer/grand ave,Config 1,
"41.092574, -81.546380",United States,"https://www.google.com/maps/place/41%C2%B005'32.2%22N+81%C2%B032'46.9%22W/@41.0925059,-81.5465119,19z/data=!4m5!3m4!1s0x0:0x6eef09f4b215e74!8m2!3d41.092282!4d-81.546355",Flock Camera,Corner of Delia/Exchange,Config 1,
,United States,"https://www.google.com/maps/place/41%C2%B005'33.3%22N+81%C2%B032'47.0%22W/@41.092578,-81.5485687,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x1ce8a67e0aea555b!8m2!3d41.092574!4d-81.54638",Flock Camera,Corner of Hollinger/Exchange,Config 1,
"41.092364, -81.554983",United States,"https://www.google.com/maps/place/41%C2%B005'32.5%22N+81%C2%B033'17.9%22W/@41.092366,-81.5572253,18z/data=!3m1!4b1!4m9!1m2!2m1!1sSunset+View+Drive,+Akron,+OH!3m5!1s0x0:0x6c03f7359ab001b7!7e2!8m2!3d41.0923642!4d-81.554983",Flock Camera,,Config 1,
"41.091871, -81.556254",United States,"https://www.google.com/maps/place/41%C2%B005'30.7%22N+81%C2%B033'22.5%22W/@41.091873,-81.5584963,18z/data=!3m1!4b1!4m9!1m2!2m1!1sSunset+View+Drive,+Akron,+OH!3m5!1s0x0:0x51d7a61a355e698f!7e2!8m2!3d41.0918707!4d-81.5562544",Flock Camera,,Config 1,
"41.083722, -81.534547",United States,"https://www.google.com/maps/place/41%C2%B005'01.4%22N+81%C2%B032'04.4%22W/@41.083724,-81.5367893,518m/data=!3m2!1e3!4b1!4m9!1m2!2m1!1sSunset+View+Drive,+Akron,+OH!3m5!1s0x0:0x381c977e775f45fb!7e2!8m2!3d41.0837224!4d-81.5345472",Flock Camera,Parking lot on exchange st,Config 1,
"41.063096, -81.466744",United States,"https://www.google.com/maps/place/41%C2%B003'47.2%22N+81%C2%B028'00.3%22W/@41.063097,-81.4672912,259m/data=!3m2!1e3!4b1!4m14!1m7!3m6!1s0x8831297483263773:0x92d63c6a2b63136d!2s27+Brittain+Rd,+Akron,+OH+44305!3b1!8m2!3d41.0630736!4d-81.4665406!3m5!1s0x0:0x4f605a5bb8771ff3!7e2!8m2!3d41.0630958!4d-81.4667445",Flock Camera,Facing East CLC,Config 1,
"41.050654, -81.541365",United States,"https://www.google.com/maps/place/41%C2%B003'02.4%22N+81%C2%B032'28.9%22W/@41.0506569,-81.5429126,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0xea095d67cdb5b1db!7e2!8m2!3d41.0506538!4d-81.5413652",Flock Camera,Kenmore/Lakeshore,Config 1,
"41.045476, -81.547339",United States,"https://www.google.com/maps/place/41%C2%B002'43.7%22N+81%C2%B032'50.4%22W/@41.0456995,-81.5479988,259m/data=!3m1!1e3!4m5!3m4!1s0x0:0x2de61c770ac3d035!8m2!3d41.045476!4d-81.547339",Flock Camera,Near Kenmore/Manchester bypass,Config 1,
