longitude,latitude,note a,note b,make,model,type,integrated,date integrated,note c,disposition,status,statusChangeTimestamp,directions
-84.411234,33.7327427,00604bae-f315-4fc1-bcb2-0823b9da880b,802 Lowndes St SW | Quad-3,Axis,Q6010-E,Fixed,,,,External,Down,2023-08-28T18:44:50.835778-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.73274273010937,-84.41123434039584"
-84.381968,33.7675335,0339fa3d-93f6-4fdd-bd9f-17e82016766e,Pine St NE and Piedmont Ave NE | PTZ,Axis,Q6075-E,PTZ,,,,External,Down,2023-08-28T18:51:25.983492-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.767533501214146,-84.38196846134224"
-84.38632,33.7367909,077cd38d-4351-496e-8f6e-2f474ec97a0c,Fraser St SE and Georgia Ave SE | Quad-4,Axis,Q-6010-E,PTZ,,,,External,Down,2023-08-28T02:28:49.916561-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.73679093837173,-84.38631997140875"
-84.411203,33.7327243,0dd44d82-0ac7-43ea-94e1-7e2b1e6b5efa,802 Lowndes St SW | PTZ,Axis,Q6055-E,PTZ,,,,External,Down,2023-08-28T18:44:51.876389-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.73272432745927,-84.41120315971604"
-84.40297,33.8191219,1271cd71-8369-4bbf-a238-3590182bcfd4,Alton Rd NW and Woodward Way NW | PTZ,Axis,Q6075-E,PTZ,,,,External,Down,2023-08-28T18:51:34.443878-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.819121915690104,-84.40296993386005"
-84.395124,33.7479641,1363ecdc-f6d3-4fd2-8a26-e859465783c6,Not deployed - 166.150.119.125,Sony,SNC-EP520,PTZ,,,,External,Down,2023-01-18T15:17:37.253134-05:00,"https://www.google.com/maps/dir/?api=1&destination=33.747964071014714,-84.3951238405796"
-84.472333,33.7860375,13658e23-3a65-4d43-b992-6aa16561589b,Hightower Rd and 6th St | PTZ,Axis,Q6045-E Mk II,PTZ,,,,External,Down,2023-08-07T17:52:36.576539-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.78603752085093,-84.47233338537445"
-84.387708,33.7587024,18ff877d-ef52-4f70-bf4b-8d010262013a,180PT Call Floor Group 1 | Quad,Axis,M7016,Fixed,,,,Internal,Down,2023-08-31T07:39:17.776315-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.758702393177416,-84.38770754477463"
-84.39995,33.8101923,19e484ca-34cd-4793-8ee2-9f548f19c438,Redland Rd NW and Golfview Dr NW | Quad-1  ,Axis,Q6000-E Mk II,Fixed,,,another record says also PTZ + QUAD,External,Down,2023-08-28T19:02:56.436369-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.81019233956488,-84.39994998177382"
-84.467635,33.7522278,1ab03e57-abaa-4e02-bbf2-44bc5b3f0239,MLK Dr & Hamilton E. Holmes Dr | Quad-4,Axis,Q6010-E,PTZ,,,,External,Down,2023-08-28T02:16:16.380629-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.75222779289023,-84.46763531100005"
-84.394633,33.736777,1b3df577-fede-483e-8917-493ae26b9048,Ralph David Abernathy Blvd SW and Pryor St SW | QUAD-3,Axis,Q6010-E,Fixed,,,,External,Down,2023-08-28T02:28:33.007285-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.73677699762806,-84.39463314297429"
-84.394573,33.7368152,1bf12b11-a429-4bff-8f50-86691fced724,Ralph David Abernathy Blvd SW and Pryor St SW | QUAD-2,Axis,Q6010-E,Fixed,,,,External,Down,2023-08-28T02:28:29.741319-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.736815195259865,-84.39457312854758"
-84.320664,33.7511599,1cbddbc4-f99e-45e2-ad7f-43fb37a38c13,2025 Hosea L Williams Dr NE - APDHS,Sony,SNC-EP520,PTZ,,,,External,Down,2023-08-16T10:27:46.766108-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.75115992828017,-84.32066386093226"
-84.417616,33.7522116,1fa0141c-9b01-4725-a0a2-e766025edf7c,Joseph E Lowery Blvd and Beckwith St SW | QUAD-2,Axis,Q6000-E Mk II,Fixed,,,,External,Down,2023-08-02T10:47:24.175342-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.752211590353596,-84.41761613682272"
-84.467659,33.7521486,20f6ad07-f3f5-4ba2-ba98-369b227631cb,MLK Dr & Hamilton E. Holmes Dr | PTZ,Axis,Q6075-E,PTZ,,,,External,Down,2023-08-28T02:15:23.165397-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.75214862368787,-84.46765878032893"
-84.39829,33.740757,211b8c60-e574-4495-9dc1-a0a988c3a9f4,Windsor St SW and Richardson St SW | PTZ,Axis,Q6055-E,PTZ,,,,External,Down,2023-08-31T07:38:56.820448-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.740756987886876,-84.39829033496608"
-84.359734,33.707307,24564309-df53-4b54-b042-514770fa4c26,990 New Town Cir SE | Quad-3,Axis,Q6010-E,PTZ,,,,External,Down,2023-06-30T14:41:56.702150-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.707306979410696,-84.3597339736107"
-84.353134,33.717928,26affc20-dc42-4ef0-9220-3ef3463b9b51,Walking Trail - Far End (2),Avigilon,15C-H4A-3MH-270,Fixed,,,,External,Down,2023-08-28T09:29:36.172894-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.717928034085006,-84.35313375664303"
-84.38194,33.7675915,29907272-7a0a-4238-a64e-ca82e93c3b77,Pine St NE and Piedmont Ave NE | Quad-4,Axis,Q6010-E,Fixed,,,,External,Down,2023-08-28T18:51:28.332046-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.767591473892956,-84.38194029814758"
-84.394919,33.760123,29f2fe1a-5aad-48bb-a4cc-5573a5424414,Marietta St and Park Ave | Quad 3,Axis,Q6000-E Mk II,Fixed,,,,External,Down,2023-08-16T13:08:13.908145-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.7601229947189,-84.39491934587055"
-84.351412,33.7177719,2fe0846d-63f2-4559-b776-397f5b5afd13,Walking Trail (2),Avigilon,15C-H4A-3MH-180,Fixed,,,,External,Down,2023-08-28T09:41:55.672326-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.71777186330786,-84.35141177845547"
-84.411187,33.7327439,34df6f6c-56ab-4488-ae80-9ccfbb4e06ff,802 Lowndes St SW | Quad-4,Axis,Q6010-E,Fixed,,,,External,Down,2023-08-28T18:44:55.119355-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.73274384542138,-84.41118673118582"
-84.399961,33.8168045,37fc16b6-ff9a-4d08-8f7d-0cba2b402b92,Woodward Way NW and Havenridge Dr NW | Quad-1,Axis,Q6010-E,PTZ,,,,External,Down,2023-08-28T02:24:52.433255-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.816804446815276,-84.39996083468179"
-84.390024,33.839076,382029df-47ce-4df2-af55-d5ae29dbc961,Andrews Dr and Austell Way | QUAD-2,Axis,AXIS Q6000-E Mk II,Fixed,,,,External,Down,2023-08-29T19:44:38.831562-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.83907595195682,-84.39002405184374"
-84.387844,33.836311,38ff8193-d7e2-461e-b6d5-6368e34bc86c,Andrews Dr NW and Slaton Dr NW | QUAD-4,Axis,Q6000-E,PTZ,,,,External,Down,2023-08-28T02:56:48.162428-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.83631101734278,-84.38784366749383"
-84.399918,33.8102024,3ba64e77-3ad6-467f-a4f8-88d9d37870ea,Redland Rd NW and Golfview Dr NW | Quad-2,Axis,Q6000-E Mk II,Fixed,,,,External,Down,2023-08-28T19:02:57.336603-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.81020236830283,-84.39991779526564"
-84.39604,33.7613121,463a83e6-c115-4bda-a133-ce5316c9f055,Marietta St NW and Baker St NW | Quad 3,Axis,Q6000-E Mk II,Fixed,,,,External,Down,2023-08-16T13:08:10.951364-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.76131207713885,-84.39604033169907"
-84.417607,33.7521715,4b9854ab-b6b4-43b8-a17b-043d574dc31c,Joseph E Lowery Blvd and Beckwith St SW | QUAD-1,Axis,Q6000-E Mk II,Fixed,,,,External,Down,2023-08-02T10:47:24.852082-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.752171448224345,-84.41760674909116"
-84.386308,33.7367974,4ca6524f-750e-4e8b-a752-c3fb38692814,Fraser St SE and Georgia Ave SE | PTZ,Axis,Q6075-E,PTZ,,,,External,Down,2023-08-28T02:28:47.658915-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.736797351112976,-84.38630790146819"
-84.352181,33.7574194,4ccce333-b404-49b8-b293-f6372aff16c4,1069 Seaboard Ave NE | PTZ,Axis,Q6075-E,PTZ,,,,External,Down,2023-08-26T15:24:22.443237-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.75741936208667,-84.35218115034333"
